table,id,name,current_image_url,fetched_image_url,source_url
cases,f50dadf9-fdee-47fa-850f-c2efdb92a8a8,iFace mall iPhone17用ケース,,,https://search.kakaku.com/%E6%90%BA%E5%B8%AF%E9%9B%BB%E8%A9%B1%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B5%E3%83%AA%20%E3%82%A2%E3%82%A4%E3%83%95%E3%82%A7%E3%82%A4%E3%82%B9%20iphone17/
cases,c2f92a99-bda0-4e18-afa7-ab1f429c2cb4,Spigen ウルトラ・ハイブリッド・マグフィット iPhone17ケース(クリア),,,https://search.kakaku.com/spigen%20iphone17/
cases,4863e679-4a05-4328-bf4e-351a837df129,ESR iPhone Air ケース 3倍米軍MIL規格,,,https://search.kakaku.com/iphone17air%20%E3%82%B1%E3%83%BC%E3%82%B9/
cases,43c9eba8-b02a-46fc-8462-8956c8a14f52,AQUOS sense10ケース 耐衝撃 手帳型 PUレザー調,,,https://store.shopping.yahoo.co.jp/visos-store/aquossense17.html
cases,609f1dac-11e2-4238-9f86-73cf8be836ca,AQUOS sense10ケース 耐衝撃 手帳型財布型 TPU+PUレザー,,,https://store.shopping.yahoo.co.jp/visos-store/aquossense17.html
cases,38945377-5200-4ca0-8bf7-b3e5143967df,エレコム ハイブリッドケース(クリア) PM-X252HVCKCR,,,https://www.ksdenki.com/shop/g/g4549550407212/
cases,bac2c5c0-d833-41dc-beb2-aba8b3518d0b,ラスタバナナ ハイブリッド RHINOX 衝撃吸収ケース,,,https://store.shopping.yahoo.co.jp/keitai-kazariya/xperia10vi4.html
cases,42c05b0e-3d34-4091-a96c-0c41d393326b,ラスタバナナ 手帳型ケース カード入れ・スタンド機能・ハンドストラップ付き,,,https://store.shopping.yahoo.co.jp/keitai-kazariya/xperia10vi4.html
cases,39bee587-74cb-4d29-8f9d-05c4dcf0083f,エレコム ハイブリッドケース(クリア) PM-A23AHVCKCR,,,https://www.ksdenki.com/shop/r/r09021176_osp/
cases,0466ab78-5f0e-45f1-a868-6d280c249911,エレコム ハイブリッドケース ショルダーストラップホール付(クリア) PM-A23AHVCKSHCR,,,https://www.ksdenki.com/shop/g/g4549550290180/
cases,2ac6cfb7-e0a0-46bb-9ee6-9e2c9e62c328,Hamee iPhone 15用ケース(ブラック),,,https://www.ksdenki.com/shop/r/r09021176_osp/
cases,79d2b41f-9206-4ab4-aea1-7ef7bc08ff4b,Galaxy S26 手帳型ケース 磁石付 耐衝撃 ハンドストラップ付,https://shop.elecom.co.jp/client_info/ELECOM/itemimage/4549550413152/PM-G261PLFY4BK_03.jpg,https://shop.elecom.co.jp/client_info/ELECOM/itemimage/4549550413152/PM-G261PLFY4BK_03.jpg,https://shop.elecom.co.jp/category/GALAXYS26/4549550413152.html
cases,608222ac-24be-49fa-8167-eaf41e59e790,Galaxy S26 TOUGH SLIM LITE ケース オールクリア,https://shop.elecom.co.jp/client_info/ELECOM/itemimage/4549550413145/PM-G261PLFUBK_03.jpg,https://shop.elecom.co.jp/client_info/ELECOM/itemimage/4549550413145/PM-G261PLFUBK_03.jpg,https://shop.elecom.co.jp/category/GALAXYS26/4549550413145.html
